file_year,title,school,dept,author,url
103,臺東縣農會人員休閒參與對身心健康影響之研究,國立臺東大學,身心整合與運動休閒產業學系,廖淑惠,https://hdl.handle.net/11296/by2rbh
103,臺東市某地區醫院護理人員照護肺結核病患的相關知識、態度與防治行為之初探,國立臺東大學,身心整合與運動休閒產業學系,孫雅慧,https://hdl.handle.net/11296/8he2vv
103,臺東縣消防人員休閒參與對身心健康影響之研究,國立臺東大學,身心整合與運動休閒產業學系,廖聰明,https://hdl.handle.net/11296/fq74h8
103,臺東縣犯罪矯正機關夜勤管理員之健康促進生活型態,國立臺東大學,身心整合與運動休閒產業學系,蔡沛然,https://hdl.handle.net/11296/3nhgbn
103,運用健康信念模式探討臺東縣某犯罪矯正機關吸菸收容人戒菸意願之影響因素,國立臺東大學,身心整合與運動休閒產業學系,陳曉蓉,https://hdl.handle.net/11296/56m8v9
103,臺東縣國小教師校外教學的行前期望與體驗感受對學生學習成長看法、 重遊意願之影響,國立臺東大學,資訊管理學系碩士班,簡婷婷,https://hdl.handle.net/11296/wx9sfp
103,植基於期望確認理論與資訊系統成功模式之數位學習系統應用分析：以臺東大學ILMS為例,國立臺東大學,資訊管理學系碩士班,馮聖雯,https://hdl.handle.net/11296/4xbahk
103,臺東縣國民中小學合併設置人事人員 角色認知、組織認同與激勵需求之研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,潘素玲,https://hdl.handle.net/11296/792evg
103,台東縣國中生嚼檳榔的態度、行為及影響因素之初探,國立臺東大學,身心整合與運動休閒產業學系,邱俊龍,https://hdl.handle.net/11296/3qvbnb
103,台東縣學前教育人員對特教巡迴教師在融合教育支援服務需求與滿意度之調查研究,國立臺東大學,特殊教育學系碩士班,張素蓉,https://hdl.handle.net/11296/69pdfg
103,臺東郵局現職人員幸福感與離職傾向之相關性研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,謝翔雲,https://hdl.handle.net/11296/2e2e6d
103,以台灣原住民族部落為主體之南島文化交流 －以台東達魯瑪克部落為例,國立臺東大學,公共與文化事務學系南島文化研究碩士班,溫秀琴,https://hdl.handle.net/11296/hett38
103,公私部門協力之研究-以台東縣市流浪動物為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,李宥磊,https://hdl.handle.net/11296/as5236
103,行政警察執行臨檢職權之研究 -以臺東縣東河鄉為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,陳柏宇,https://hdl.handle.net/11296/k3x2b2
103,台東縣政府公有宿舍管理之研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,楊靜宜,https://hdl.handle.net/11296/k98s88
103,臺東縣護理人員參與專業繼續教育學習動機與阻礙之研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,戴毓嶸,https://hdl.handle.net/11296/p4ew68
103,臺東縣國小教師對特殊需求學生實施課程與教學調整現況與困境之調查研究,國立臺東大學,特殊教育學系碩士班,黃雪娥,https://hdl.handle.net/11296/m3666a
103,資訊傳遞效果、旅遊涉入、人際關係與知覺復癒關係之研究-以臺東縣延平鄉鸞山森林文化博物館為例,國立臺東大學,休閒事業管理碩士在職專班,倪明樑,https://hdl.handle.net/11296/a7b96e
103,非典型人力管理與運用之芻議─以臺東縣中央及地方機關為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,黃琪茹,https://hdl.handle.net/11296/7z2q8c
103,地區災害防救計畫於災害管理之探討-以宜蘭、花蓮、臺東三縣為例,中國科技大學,土木與防災設計系,黃成宇,https://hdl.handle.net/11296/777332
103,國中生對溼地生態保育知識、態度與行為之研究 —以臺東縣關山鎮人工溼地為例,國立臺東大學,資訊管理學系碩士班,陳彥米,https://hdl.handle.net/11296/875ebh
103,國立大學校務基金制度與建設永續校園關聯性探討-以國立臺東大學為例,國立臺東大學,資訊管理學系碩士班,蘇彥光,https://hdl.handle.net/11296/67xqxj
103,臺東美麗灣渡假村BOT開發案議題釐清與策略產出之研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,張凱鈞,https://hdl.handle.net/11296/db9jav
103,臺東地區發展冒險休閒運動現況之研究─以熱氣球為例,國立臺東大學,休閒事業管理碩士在職專班,唐淑娟,https://hdl.handle.net/11296/g6yjre
103,由海洋宗教文化論台東富岡漁港轉型發展 -以屏東東港為對照研究,國立高雄海洋科技大學,運籌管理研究所,郭郁茵,https://hdl.handle.net/11296/zr6h35
103,個性咖啡館之經營策略－以台東地區為例,國立臺東大學,文化資源與休閒產業學系,張湘沅,https://hdl.handle.net/11296/vp8tkd
103,臺東縣國小教師正向管教與班級經營關係之研究,國立臺東大學,教育學系(所),陳瑞彬,https://hdl.handle.net/11296/5aapvt
103,人格特質、網路使用行為與人際關係之關聯性研究－以台東地區大專院校學生為例,國立臺東大學,資訊管理學系碩士班,黃志航,https://hdl.handle.net/11296/b99y6x
103,天主教聖堂室內空間元素本地化之研究-以台南市與台東縣教堂為例,中原大學,室內設計研究所,黃聖堯,https://hdl.handle.net/11296/3s42ez
